154,6
154,7
155,3
155,4
155,7
156,3
156,4
156,7
157,8
158,3
158,5
158,6
158,7
158,8
159,2
159,3
159,5
160,6
160,7
160,8
161,7
162,7
162,8
163,9
164,8
165,8
166,4
166,5
166,6
168,4
168,5
168,6
169,8
170,8
171,9
172,8
172,7
173,7
174,6
174,7
174,8
175,2
175,3
175,5
176,3
176,5
176,6
176,7
176,8
177,8
178,7
178,3
178,4
179,3
179,4
179,7
180,6
180,7
2,998
3,997
4,999
4,998
4,997
6,1
7,2
1,3
7,3
2,4
3,4
4,4
5,4
6,4
7,4
1,7
2,7
3,7
1,8
2,8
5,9
5,10
6,10
6,11
7,11
5,12
6,12
5,16
6,16
6,17
7,17
5,18
6,18
5,19
1,20
2,20
1,21
2,21
3,21
2,24
3,24
4,24
5,24
6,24
7,24
1,25
7,25
7,26
6,27
